delta,wing,dte,max_vix,trades,win_rate,total_pnl,avg_pnl,sharpe
0.15,30,1,20,823,0.8748481166464156,245406.2485618583,298.1849921772276,0.4088975806029441
0.15,30,1,25,1081,0.8640148011100832,297301.981052911,275.02495934589354,0.3519627604441833
0.15,30,2,17,517,0.9284332688588007,244099.1296167254,472.1453184075929,0.8530352539752039
0.15,30,2,20,822,0.9257907542579076,399591.4830041118,486.1210255524479,0.9072658105777739
0.15,30,2,25,1080,0.912962962962963,498261.66147732874,461.3533902567861,0.7622461518914868
0.15,30,3,17,516,0.8992248062015504,229654.9077440711,445.06765066680424,0.6518577134534786
0.15,30,3,20,821,0.8915956151035322,347445.9282287341,423.1984509485191,0.5731785390612592
0.15,30,3,25,1079,0.8869323447636701,442700.43826135626,410.28770923202626,0.5295537481324648
0.15,35,1,17,518,0.8938223938223938,172460.10878787492,332.93457294956596,0.43206341237896917
0.15,35,1,20,823,0.8784933171324423,270568.71792273433,328.7590740251933,0.4186099279519679
0.15,35,1,25,1081,0.8677150786308974,328185.094865422,303.59398229918776,0.35722413096678984
0.15,35,2,17,517,0.9303675048355899,269389.97469332744,521.0637808381575,0.8565873302545136
0.15,35,2,20,822,0.9282238442822385,442433.5950059537,538.2403832189214,0.909557773721403
0.15,35,2,25,1080,0.9148148148148149,553895.0315087613,512.8657699155196,0.7660736434469205
0.15,35,3,17,516,0.8992248062015504,256216.2637440085,496.5431467907138,0.6487757894415077
0.15,35,3,20,821,0.8915956151035322,388880.61748436023,473.66701277023145,0.5719498359834785
0.15,35,3,25,1079,0.8869323447636701,495616.39456383156,459.3293740165262,0.5259550185977298
0.18,20,1,17,518,0.8474903474903475,142953.93913942488,275.97285548151507,0.4609436612889838
0.18,20,1,20,823,0.8371810449574727,213731.00699322164,259.69745685689134,0.4159956516470573
0.18,20,1,25,1081,0.820536540240518,253643.22040231392,234.63757669039228,0.3577618964686901
0.18,20,2,17,517,0.9110251450676983,210975.69285727208,408.0767753525574,0.8166906185228645
0.18,20,2,20,822,0.8978102189781022,326595.5487376024,397.31818581216896,0.7684016519098414
0.18,20,2,25,1080,0.8861111111111111,405550.4517528215,375.50967754890917,0.6694472338874965
0.18,20,3,17,516,0.8817829457364341,191233.01653385095,370.6066211896334,0.6245826583727593
0.18,20,3,20,821,0.8587088915956151,281070.7750880963,342.3517357954883,0.5471853881308842
0.18,20,3,25,1079,0.8443002780352178,350056.59747481917,324.4268743974225,0.5016614061687403
0.18,25,1,17,518,0.859073359073359,167075.29033855838,322.5391705377573,0.4579136714751976
0.18,25,1,20,823,0.8444714459295262,253159.9690422858,307.60628073181766,0.4215857935836205
0.18,25,1,25,1081,0.8288621646623496,301777.93454661145,279.1655268701309,0.3621060020654177
0.18,25,2,17,517,0.9129593810444874,251307.5693401263,486.0881418571102,0.8325239035287586
0.18,25,2,20,822,0.9014598540145985,394014.6190552176,479.3365195318948,0.805652687971267
0.18,25,2,25,1080,0.8888888888888888,488969.33118040196,452.7493807225943,0.690761833272713
0.18,25,3,17,516,0.8817829457364341,231724.62094177352,449.07872275537505,0.6435708317738937
0.18,25,3,20,821,0.8611449451887941,341064.23249551735,415.42537453777976,0.5570550151005803
0.18,25,3,25,1079,0.8489341983317887,427034.37548975507,395.76865198309054,0.5124087581159266
0.18,30,1,17,518,0.861003861003861,186999.23098559515,361.0023764200679,0.4532783703163939
0.18,30,1,20,823,0.8469015795868773,285792.62926222174,347.257143696503,0.42145728364660706
0.18,30,1,25,1081,0.8307123034227567,342108.12602097954,316.47375210081384,0.3619702523037909
0.18,30,2,17,517,0.9129593810444874,287927.94250503386,556.9205851161199,0.8574631272348071
0.18,30,2,20,822,0.902676399026764,456104.742647715,554.8719496930836,0.8481725499899496
0.18,30,2,25,1080,0.8907407407407407,567175.5380096197,525.1625351940924,0.7199634403862928
0.18,30,3,17,516,0.8875968992248062,269228.1194358496,521.759921387305,0.6617870310278203
0.18,30,3,20,821,0.8708891595615104,397678.4779919531,484.38304262113604,0.5701167069452713
0.18,30,3,25,1079,0.860982391102873,499714.65731483494,463.12757860503706,0.5241323937139157
0.18,35,1,17,518,0.862934362934363,203844.81061327035,393.52280041171895,0.4510841170580593
0.18,35,1,20,823,0.8493317132442284,313789.4199396474,381.27511535801597,0.42253347136619573
0.18,35,1,25,1081,0.8344125809435707,376710.57074988016,348.4834141997036,0.36184361134267945
0.18,35,2,17,517,0.9129593810444874,319209.07970872644,617.42568609038,0.8657496882536777
0.18,35,2,20,822,0.9038929440389294,509949.4846320269,620.3765019854336,0.8719853614104346
0.18,35,2,25,1080,0.8916666666666667,636831.9508821693,589.6592137797861,0.7408880217989361
0.18,35,3,17,516,0.8914728682170543,303519.26203553664,588.2156240998767,0.6775037200505669
0.18,35,3,20,821,0.8745432399512789,450653.38257439795,548.9078959493278,0.5841277517150736
0.18,35,3,25,1079,0.8637627432808156,567664.2333166606,526.1021624806871,0.5353993981489624
