date,spx,vix,momentum,put_delta,call_delta,contracts,credit,pnl,capital,win,year
2023-01-20,3972.610107421875,19.850000381469727,-0.002651108202824104,0.18,0.12,1,629.7675111865829,629.7675111865829,37018.13468242921,True,2023
2023-01-25,4016.219970703125,19.07999992370605,0.02223542220712349,0.1,0.2,1,623.745400250786,617.739540875786,37635.874223305,True,2023
2023-01-30,4017.77001953125,19.940000534057617,-0.0005074963823573642,0.18,0.12,1,635.1209264465353,-1585.8751673034647,36049.999056001536,False,2023
2023-02-03,4136.47998046875,18.32999992370605,0.01619431255800552,0.12,0.18,1,614.0584096931775,614.0584096931775,36664.057465694714,True,2023
2023-02-08,4117.85986328125,19.6299991607666,-0.0003277564554982071,0.18,0.12,1,638.2750424997766,638.2750424997766,37302.33250819449,True,2023
2023-02-14,4136.1298828125,18.90999984741211,-0.0066931117164985565,0.18,0.12,1,627.0694630338625,627.0694630338625,37929.401971228355,True,2023
2023-03-03,4045.639892578125,18.489999771118164,0.01904259220858573,0.12,0.18,1,612.6377740078283,612.6377740078283,38542.03974523619,True,2023
2023-03-08,3992.010009765625,19.11000061035156,0.010279956747319963,0.12,0.18,1,617.2038296764242,-2382.796170323576,36159.24357491261,False,2023
2023-03-28,3971.27001953125,19.96999931335449,-0.007894359979497168,0.18,0.12,1,628.4389403830289,495.4311278830289,36654.67470279564,True,2023
2023-03-31,4109.31005859375,18.700000762939453,0.03483264090303373,0.1,0.2,1,619.4786222261911,619.4786222261911,37274.15332502183,True,2023
2023-04-05,4090.3798828125,19.07999992370605,0.01553445254580721,0.12,0.18,1,622.7592309320585,622.7592309320585,37896.91255595389,True,2023
2023-04-11,4108.93994140625,19.100000381469727,-0.0037749514738730783,0.18,0.12,1,630.5814517176486,630.5814517176486,38527.494007671536,True,2023
2023-04-14,4137.64013671875,17.06999969482422,0.00794639661494867,0.12,0.18,1,599.415438964229,599.415438964229,39126.909446635764,True,2023
2023-04-19,4154.52001953125,16.459999084472656,0.015291015067634417,0.12,0.18,1,588.3958042391669,588.3958042391669,39715.30525087493,True,2023
2023-04-24,4137.0400390625,16.889999389648438,-0.0034398181207195844,0.18,0.12,1,596.8884880979743,-2403.1115119020255,37312.19373897291,False,2023
2023-04-28,4169.47998046875,15.779999732971191,0.008699597623232913,0.12,0.18,1,585.0890357630391,585.0890357630391,37897.28277473595,True,2023
2023-05-03,4090.75,18.34000015258789,0.008570043281496353,0.12,0.18,1,613.0444139013832,613.0444139013832,38510.32718863733,True,2023
2023-05-08,4138.1201171875,16.979999542236328,-0.007137938362646312,0.18,0.12,1,600.1854479344388,600.1854479344388,39110.51263657177,True,2023
2023-05-12,4124.080078125,17.030000686645508,-0.0029422597461469246,0.18,0.12,1,599.7496273589576,599.7496273589576,39710.26226393073,True,2023
2023-05-17,4158.77001953125,16.8700008392334,0.005106747352189078,0.12,0.18,1,594.9560804876171,594.9560804876171,40305.21834441835,True,2023
2023-05-22,4192.6298828125,17.209999084472656,0.013623376701564549,0.12,0.18,1,600.5508329679799,-425.4257295320201,39879.792614886326,False,2023
2023-05-26,4205.4501953125,17.950000762939453,0.0032133299554173433,0.12,0.18,1,616.82864342622,616.82864342622,40496.621258312545,True,2023
2023-06-02,4282.3701171875,14.600000381469728,0.03157829363850406,0.1,0.2,1,570.0023302940608,570.0023302940608,41066.623588606606,True,2023
2023-06-07,4267.52001953125,13.9399995803833,0.020979307715204065,0.1,0.2,1,559.5278383837183,559.5278383837183,41626.15142699033,True,2023
2023-06-12,4338.93017578125,15.010000228881836,0.015241772787939478,0.12,0.18,1,581.5389149457559,581.5389149457559,42207.69034193608,True,2023
2023-06-16,4409.58984375,13.539999961853027,0.025757987929439397,0.1,0.2,1,560.9407943233265,560.9407943233265,42768.631136259406,True,2023
2023-06-23,4348.330078125,13.4399995803833,-0.017513007330000052,0.18,0.12,1,555.9878737941659,555.9878737941659,43324.619010053575,True,2023
2023-06-28,4376.85986328125,13.43000030517578,0.002558569670525479,0.12,0.18,1,552.1069380292545,-2235.8813432207453,41088.73766683283,False,2023
2023-07-03,4455.58984375,13.56999969482422,0.029285122661377727,0.1,0.2,1,560.3742122868255,560.3742122868255,41649.11187911966,True,2023
2023-07-07,4398.9501953125,14.829999923706056,0.000570974229082033,0.12,0.18,1,578.3911076065209,578.3911076065209,42227.50298672618,True,2023
2023-07-12,4472.16015625,13.539999961853027,0.005698529068625335,0.12,0.18,1,560.4114133941323,560.4114133941323,42787.91440012031,True,2023
2023-07-17,4522.7900390625,13.479999542236328,0.02568533594840816,0.1,0.2,1,561.9434162563635,561.9434162563635,43349.85781637667,True,2023
2023-07-21,4536.33984375,13.600000381469728,0.006862827974119634,0.12,0.18,1,569.0813664860428,569.0813664860428,43918.93918286271,True,2023
2023-07-26,4566.75,13.1899995803833,0.00022554714432621026,0.12,0.18,1,558.3809677773161,558.3809677773161,44477.32015064003,True,2023
2023-07-31,4588.9599609375,13.630000114440918,0.0075351341024880725,0.12,0.18,1,567.3540240398893,-1193.6323040851107,43283.687846554916,False,2023
2023-08-04,4478.02978515625,17.100000381469727,-0.022740062318268972,0.2,0.1,1,625.7178407574088,625.7178407574088,43909.405687312326,True,2023
2023-08-09,4467.7099609375,15.960000038146973,-0.01012103416667176,0.18,0.12,1,605.9045684254983,605.9045684254983,44515.31025573782,True,2023
2023-08-14,4489.72021484375,14.81999969482422,-0.006356115591869882,0.18,0.12,1,587.8972896365866,-2412.1027103634133,42103.20754537441,False,2023
2023-08-18,4369.7099609375,17.299999237060547,-0.021133241759744292,0.2,0.1,1,625.5595248127804,625.5595248127804,42728.76707018719,True,2023
2023-08-23,4436.009765625,15.979999542236328,0.007192850430839393,0.12,0.18,1,599.0571666594661,599.0571666594661,43327.82423684666,True,2023
2023-08-28,4433.31005859375,15.079999923706056,0.007623134598765624,0.12,0.18,1,582.7058956756019,-2404.305823074398,40923.51841377226,False,2023
2023-09-01,4515.77001953125,13.09000015258789,0.02498123107730188,0.1,0.2,1,557.1657350927865,557.1657350927865,41480.684148865046,True,2023
2023-09-08,4457.490234375,13.84000015258789,-0.011129925534745122,0.18,0.12,1,575.209988185415,575.209988185415,42055.89413705046,True,2023
2023-09-13,4467.43994140625,13.479999542236328,0.00043891383369154546,0.12,0.18,1,562.7959965205491,562.7959965205491,42618.69013357101,True,2023
2023-09-18,4453.52978515625,14.0,-0.007561109419717549,0.18,0.12,1,574.6862111863891,-105.29425756361093,42513.3958760074,False,2023
2023-09-22,4320.06005859375,17.200000762939453,-0.029269753808731536,0.2,0.1,1,619.0484841438717,619.0484841438717,43132.444360151276,True,2023
2023-09-27,4274.509765625,18.21999931335449,-0.029006047890204,0.2,0.1,1,631.1011580282724,631.1011580282724,43763.54551817955,True,2023
2023-10-02,4288.39013671875,17.610000610351562,-0.011308468901035096,0.18,0.12,1,620.7551416932716,620.7551416932716,44384.30065987282,True,2023
2023-10-06,4308.5,17.450000762939453,0.004769113290182592,0.12,0.18,1,615.4768337867296,615.4768337867296,44999.777493659545,True,2023
2023-10-11,4376.9501953125,16.09000015258789,0.02654944481090582,0.1,0.2,1,603.644006850692,603.644006850692,45603.42150051024,True,2023
2023-10-16,4373.6298828125,17.209999084472656,0.008757542149092412,0.12,0.18,1,612.4940733368163,612.4940733368163,46215.91557384705,True,2023
2023-10-24,4247.68017578125,18.96999931335449,-0.0287020977603063,0.2,0.1,1,640.6307842859434,-2359.3692157140567,43856.546358133,False,2023
2023-10-30,4166.81982421875,19.75,-0.011908877880826285,0.18,0.12,1,637.6350096066005,637.6350096066005,44494.1813677396,True,2023
2023-11-03,4358.33984375,14.90999984741211,0.058525155549315144,0.1,0.2,1,582.2894009836091,582.2894009836091,45076.47076872321,True,2023
2023-11-08,4382.77978515625,14.449999809265137,0.03419648750791704,0.1,0.2,1,576.0625256546945,576.0625256546945,45652.5332943779,True,2023
2023-11-13,4411.5498046875,14.760000228881836,0.010437478967518565,0.12,0.18,1,581.6958380843829,-2418.304161915617,43234.229132462286,False,2023
2023-11-17,4514.02001953125,13.800000190734863,0.022372459914456355,0.1,0.2,1,570.2002185262728,570.2002185262728,43804.42935098856,True,2023
2023-11-22,4556.6201171875,12.850000381469728,0.011934636449026037,0.12,0.18,1,552.4969883082747,552.4969883082747,44356.926339296835,True,2023
2023-11-28,4554.89013671875,12.6899995803833,0.0016515563027044156,0.12,0.18,1,551.6806248378259,551.6806248378259,44908.60696413466,True,2023
2023-12-01,4594.6298828125,12.630000114440918,0.007740164206200939,0.12,0.18,1,551.5155532593496,551.5155532593496,45460.12251739401,True,2023
2023-12-06,4549.33984375,12.970000267028809,-0.00027254423693412466,0.18,0.12,1,553.4857151670224,553.4857151670224,46013.60823256103,True,2023
2023-12-11,4622.43994140625,12.630000114440918,0.011523565407036251,0.12,0.18,1,548.369965608822,-2451.630034391178,43561.978198169854,False,2023
2023-12-15,4719.18994140625,12.279999732971191,0.024937140433203497,0.1,0.2,1,553.0280941851956,-233.98362456480436,43327.99457360505,False,2023
2023-12-20,4698.35009765625,13.670000076293944,-0.00185671962589673,0.18,0.12,1,574.1042028821198,574.1042028821198,43902.09877648717,True,2023
2023-12-26,4774.75,12.989999771118164,0.007212215641962061,0.12,0.18,1,561.8592689130509,561.8592689130509,44463.95804540022,True,2023
2023-12-29,4769.830078125,12.449999809265137,0.004862290646231671,0.12,0.18,1,560.9548967187294,-458.0392439062706,44005.91880149395,False,2023
2024-01-05,4697.240234375,13.350000381469728,-0.01800199891775478,0.18,0.12,1,567.1912667983776,567.1912667983776,44573.11006829233,True,2024
2024-01-10,4783.4501953125,12.6899995803833,0.016714837738264654,0.12,0.18,1,559.0041516030482,559.0041516030482,45132.114219895375,True,2024
2024-01-16,4765.97998046875,13.84000015258789,0.0005122117975795426,0.12,0.18,1,583.5760591481801,583.5760591481801,45715.690279043556,True,2024
2024-01-19,4839.81005859375,13.300000190734863,0.012461680019840715,0.12,0.18,1,576.2795381335707,576.2795381335707,46291.96981717712,True,2024
2024-01-24,4868.5498046875,13.140000343322754,0.02729143566460901,0.1,0.2,1,571.7458299150593,571.7458299150593,46863.715647092184,True,2024
2024-01-29,4927.93017578125,13.600000381469728,0.015977964261183697,0.12,0.18,1,590.6945932195185,-1444.3151724054815,45419.4004746867,False,2024
2024-02-02,4958.60986328125,13.850000381469728,0.013829495062599007,0.12,0.18,1,594.9661653150372,594.9661653150372,46014.36664000174,True,2024
2024-02-07,4995.06005859375,12.829999923706056,0.03083387352803446,0.1,0.2,1,583.6886257528818,583.6886257528818,46598.05526575462,True,2024
2024-02-12,5021.83984375,13.93000030517578,0.015988837163355196,0.12,0.18,1,596.0931928841404,596.0931928841404,47194.14845863876,True,2024
2024-02-16,5005.56982421875,14.239999771118164,-0.004185731464101616,0.18,0.12,1,605.2674439587662,605.2674439587662,47799.415902597524,True,2024
2024-02-23,5088.7998046875,13.75,0.011744134267272388,0.12,0.18,1,601.5352451635351,601.5352451635351,48400.95114776106,True,2024
2024-02-28,5069.759765625,13.84000015258789,0.017656261669675377,0.12,0.18,1,595.9776836005489,-712.0301288994511,47688.921018861605,False,2024
2024-03-04,5130.9501953125,13.489999771118164,0.01211560297684633,0.12,0.18,1,595.7082794985325,595.7082794985325,48284.62929836014,True,2024
2024-03-08,5123.68994140625,14.739999771118164,-0.002606565697850116,0.18,0.12,1,616.9981552913498,616.9981552913498,48901.62745365149,True,2024
2024-03-13,5165.31005859375,13.75,0.011861536242408599,0.12,0.18,1,602.983636196339,602.983636196339,49504.61108984783,True,2024
2024-03-18,5149.419921875,14.329999923706056,0.0061509085353002035,0.12,0.18,1,608.9337887780943,-1203.0779299719056,48301.53315987592,False,2024
2024-03-22,5234.18017578125,13.0600004196167,0.022882211492585736,0.1,0.2,1,593.3340889882771,593.3340889882771,48894.8672488642,True,2024
2024-03-27,5248.490234375,12.779999732971191,0.004568775652984636,0.12,0.18,1,586.912860321533,586.912860321533,49481.78010918573,True,2024
2024-04-02,5205.81005859375,14.609999656677246,-0.002372447716834869,0.18,0.12,1,622.2765977172884,193.27269146728838,49675.05280065302,True,2024
2024-04-05,5204.33984375,16.030000686645508,-0.00951787623145961,0.18,0.12,1,643.1447628918079,643.1447628918079,50318.19756354483,True,2024
2024-04-10,5160.64013671875,15.800000190734863,-0.009757304603747019,0.18,0.12,1,636.1381037450371,636.1381037450371,50954.335667289866,True,2024
2024-04-15,5061.81982421875,19.229999542236328,-0.027020332732804353,0.2,0.1,1,677.5687685129839,677.5687685129839,51631.90443580285,True,2024
2024-04-19,4967.22998046875,18.709999084472656,-0.030483637073390857,0.2,0.1,1,670.7436376939938,315.76316894399383,51947.66760474684,True,2024
2024-04-24,5071.6298828125,15.970000267028809,0.009840273954969225,0.12,0.18,1,627.359856783346,627.359856783346,52575.02746153019,True,2024
2024-04-29,5116.169921875,14.670000076293944,0.02106929752149478,0.1,0.2,1,610.5421438277773,-1550.4441842972228,51024.58327723297,False,2024
2024-05-03,5127.7900390625,13.489999771118164,0.005456920904901352,0.12,0.18,1,599.7058527839272,-70.31367846607282,50954.26959876689,False,2024
2024-05-08,5187.669921875,13.0,0.033731890216676774,0.1,0.2,1,588.736509048806,588.736509048806,51543.0061078157,True,2024
2024-05-13,5221.419921875,13.600000381469728,0.007852099441327809,0.12,0.18,1,601.8473379559964,-2398.1526620440036,49144.853445771696,False,2024
2024-05-17,5303.27001953125,11.989999771118164,0.015430744567456633,0.12,0.18,1,574.6839318678155,574.6839318678155,49719.53737763951,True,2024
2024-05-22,5307.009765625,12.289999961853027,-0.00021478984951928126,0.18,0.12,1,579.1318329650693,579.1318329650693,50298.66921060458,True,2024
2024-05-28,5306.0400390625,12.920000076293944,-0.0003937062197303387,0.18,0.12,1,594.4308120774508,-1557.5711410475492,48741.09806955703,False,2024
2024-05-31,5277.509765625,12.920000076293944,0.0018356522145359655,0.12,0.18,1,594.9299552999179,594.9299552999179,49336.02802485695,True,2024
2024-06-05,5354.02978515625,12.630000114440918,0.016533209279489647,0.12,0.18,1,588.2885916295834,588.2885916295834,49924.31661648653,True,2024
2024-06-10,5360.7900390625,12.739999771118164,0.014647790844758646,0.12,0.18,1,587.3459441601511,-115.63257146484887,49808.684045021684,False,2024
2024-06-14,5431.60009765625,12.65999984741211,0.015823829775731824,0.12,0.18,1,591.8065034384,388.8279878134,50197.51203283508,True,2024
2024-06-21,5464.6201171875,13.199999809265137,0.005682988416918944,0.12,0.18,1,605.1564013704791,605.1564013704791,50802.66843420556,True,2024
2024-06-26,5477.89990234375,12.550000190734863,-0.0016639025429019405,0.18,0.12,1,592.9175177985883,592.9175177985883,51395.58595200415,True,2024
2024-07-01,5475.08984375,12.220000267028809,0.00499639785402084,0.12,0.18,1,584.129085217063,-417.872867907937,50977.71308409621,False,2024
