delta,wing_width,dte,total_trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,max_loss,sharpe
0.15,15,2,58,0.9482758620689655,8740.289581742525,150.69464796107803,194.94853614644128,-660.6266354372489,-1296.1051035774062,0.6769227481227892
0.15,15,3,57,0.9824561403508771,9653.847331513498,169.36574265813155,195.5747093975463,-1298.3363947490943,-1298.3363947490943,0.8620075579443035
0.15,20,0,60,0.31666666666666665,-51183.0078125,-853.0501302083334,152.37201891447367,-1318.9774676067073,-2000.0,-0.9364416347713905
0.15,20,1,59,0.9661016949152542,11364.76896913231,192.6232028666494,234.66948249982278,-1005.6957666787923,-1755.4075542012583,0.7304010191633212
0.15,20,2,58,0.9655172413793104,11391.198027375154,196.39996598922673,244.94252889891854,-1162.7917954821442,-1735.6091579943836,0.7020811037956344
0.15,20,3,57,0.9824561403508771,12391.368006340475,217.39242116386797,252.34449403409877,-1739.9236595690581,-1739.9236595690581,0.8302567519527426
0.15,25,0,60,0.31666666666666665,-61387.98828125,-1023.1331380208334,152.37201891447367,-1567.8794302591464,-2500.0,-0.9267493140642559
0.15,25,1,59,0.9661016949152542,13643.040443390564,231.23797361678933,277.19684168883515,-1078.5897664365166,-1952.2261783215981,0.7873373361045207
0.15,25,2,58,0.9655172413793104,14250.05677631918,245.69063407446868,294.2717440861147,-1114.5804462516196,-1690.608859619931,0.8769384403423436
0.15,25,3,57,0.9824561403508771,14895.873687891868,261.33111733143625,305.02560268113274,-2185.560062251568,-2185.560062251568,0.7986028135594806
0.15,30,0,60,0.31666666666666665,-70593.017578125,-1176.55029296875,152.37201891447367,-1792.3923399390244,-3000.0,-0.9103220220306549
0.15,30,1,59,0.9661016949152542,15852.92557883588,268.69365387857425,314.4294237697067,-1034.7757880187032,-1911.0855336493728,0.9165841992793597
0.15,30,2,58,0.9655172413793104,16860.05673792818,290.6906334125548,339.0853794998573,-1064.3622570319167,-1636.933387651186,1.041674869413191
0.15,30,3,57,0.9824561403508771,17180.102067369226,301.40529942753034,353.8417849002534,-2635.0378870449617,-2635.0378870449617,0.7676025938415314
0.18,15,0,60,0.31666666666666665,-39025.9765625,-650.4329427083334,152.37201891447367,-1022.4645102896342,-1500.0,-0.9264688759447484
0.18,15,1,59,0.9661016949152542,10385.369991697838,176.02322019826846,226.54422758729189,-1263.8254903888992,-1263.9654758428605,0.6518712785550029
0.18,15,2,58,0.9310344827586207,8606.896359108818,148.39476481222096,233.9955608586352,-1007.2159818143717,-1260.1073768699507,0.4567433639354693
0.18,15,3,57,0.9473684210526315,10037.349052488207,176.09384302610889,237.74343060900355,-933.5987334659952,-1269.5193248022406,0.622186732293679
0.18,20,0,60,0.31666666666666665,-51183.0078125,-853.0501302083334,152.37201891447367,-1318.9774676067073,-2000.0,-0.9364416347713905
0.18,20,1,59,0.9661016949152542,13425.465881404634,227.5502691763498,286.5683715722248,-1454.4656491060891,-1699.8333535152597,0.7139919912819597
0.18,20,2,58,0.9310344827586207,11576.145569081054,199.58871670829402,299.59226044621965,-1150.459123753703,-1687.426168135073,0.5113569853461859
0.18,20,3,57,0.9473684210526315,13384.274454410635,234.81183253351998,306.6696719477113,-1058.6292769219237,-1702.3705642536697,0.6946518946599753
0.18,25,0,60,0.31666666666666665,-61387.98828125,-1023.1331380208334,152.37201891447367,-1567.8794302591464,-2500.0,-0.9267493140642559
0.18,25,1,59,0.9661016949152542,16073.612584924082,272.43411160888274,339.71552081811,-1645.0860508540927,-2142.1533728479403,0.7339699733430242
0.18,25,2,58,0.9310344827586207,14572.517947136672,251.25030943339084,359.59344710660514,-1211.382049155003,-2119.51212738403,0.5790984210841831
0.18,25,3,57,0.9473684210526315,16551.02884062395,290.3689270284903,370.8399964199351,-1158.1103220175162,-2139.6971810211085,0.7437059718053245
0.18,30,0,60,0.31666666666666665,-70593.017578125,-1176.55029296875,152.37201891447367,-1792.3923399390244,-3000.0,-0.9103220220306549
0.18,30,1,59,0.9661016949152542,18353.03737852241,311.0684301444475,386.5896638866178,-1841.2867315074038,-2590.4466404935533,0.7289051508935128
